TDBC_NaOH_c2_1mmK_abs-2,,
Wavelength (nm),Abs,
715.5,-0.006961387116,
715,-0.006952470634,
714.5,-0.007016611751,
714,-0.00692307204,
713.5,-0.007043967023,
713,-0.007088637911,
712.5,-0.007004996762,
712,-0.006920116488,
711.5,-0.0070097344,
711,-0.006937083788,
710.5,-0.007063527126,
710,-0.006976467557,
709.5,-0.006998374127,
709,-0.006937389262,
708.5,-0.006908142474,
708,-0.007005200721,
707.5,-0.006843424868,
707,-0.006904677488,
706.5,-0.006893619895,
706,-0.006907581817,
705.5,-0.006783794612,
705,-0.006727316417,
704.5,-0.006818452384,
704,-0.00687843468,
703.5,-0.00684541231,
703,-0.006928982213,
702.5,-0.006819573697,
702,-0.006869210862,
701.5,-0.006789503153,
701,-0.006804946344,
700.5,-0.006902537309,
700,-0.006876192521,
699.5,-0.006795058493,
699,-0.006762743462,
698.5,-0.006734351162,
698,-0.006854432635,
697.5,-0.006895556115,
697,-0.006802958436,
696.5,-0.006729814224,
696,-0.006870077457,
695.5,-0.006892295089,
695,-0.006798983086,
694.5,-0.00676131621,
694,-0.006799594499,
693.5,-0.006906053051,
693,-0.007017885335,
692.5,-0.006832569372,
692,-0.006831907202,
691.5,-0.006841844879,
691,-0.006809482351,
690.5,-0.006812183652,
690,-0.006774110254,
689.5,-0.006763915997,
689,-0.006714827381,
688.5,-0.006711309776,
688,-0.006842812989,
687.5,-0.006862382405,
687,-0.006808106322,
686.5,-0.006934740115,
686,-0.006854126696,
685.5,-0.006808463018,
685,-0.006828797981,
684.5,-0.006727724336,
684,-0.006672666874,
683.5,-0.006659308914,
683,-0.006610412616,
682.5,-0.00659909239,
682,-0.006668332964,
681.5,-0.006597562693,
681,-0.006595931016,
680.5,-0.00676121423,
680,-0.006720026955,
679.5,-0.006660787389,
679,-0.006655332167,
678.5,-0.00658272393,
678,-0.006528770085,
677.5,-0.006629788317,
677,-0.006703713909,
676.5,-0.006804844365,
676,-0.006611177232,
675.5,-0.006634376943,
675,-0.006639730651,
674.5,-0.006509899627,
674,-0.006534737069,
673.5,-0.006566355005,
673,-0.006636365782,
672.5,-0.00655034231,
672,-0.006539020687,
671.5,-0.006514183711,
671,-0.006609953474,
670.5,-0.006514490116,
670,-0.006531779189,
669.5,-0.006612962112,
669,-0.00648990646,
668.5,-0.00644507166,
668,-0.006448387634,
667.5,-0.006345286034,
667,-0.006312682293,
666.5,-0.006458078977,
666,-0.006529891863,
665.5,-0.006442623213,
665,-0.006481593009,
664.5,-0.006371357013,
664,-0.006362888031,
663.5,-0.006430278998,
663,-0.006429717876,
662.5,-0.006358959712,
662,-0.006376765203,
661.5,-0.006325642578,
661,-0.006312121172,
660.5,-0.006327989511,
660,-0.006362786051,
659.5,-0.006310386583,
659,-0.006367887836,
658.5,-0.006260889117,
658,-0.006179180928,
657.5,-0.006249509286,
657,-0.00617091218,
656.5,-0.006172954105,
656,-0.006100162864,
655.5,-0.006072952412,
655,-0.006082244217,
654.5,-0.006160448771,
654,-0.006146105472,
653.5,-0.006097865757,
653,-0.006021386012,
652.5,-0.006096742582,
652,-0.006064171437,
651.5,-0.006034405902,
651,-0.006067694165,
650.5,-0.006006629672,
650,-0.005972264335,
649.5,-0.00594632281,
649,-0.005934066139,
648.5,-0.006016484462,
648,-0.006053296849,
647.5,-0.006040635053,
